# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	2401
#@/user_id	86350857-d429-43fa-987d-7e88c3835db1
an jian 	按键	c=4 d=0.995012 t=2401
yi ge 	一个	c=22 d=3.27603 t=2401
yi hang 	一行	c=4 d=2.05384 t=2118
yi jing 	已经	c=9 d=2.00322 t=2401
yi lai 	依赖	c=2 d=0.786628 t=2401
yi pian 	一片	c=1 d=1 t=499
yi shang 	以上	c=1 d=1 t=1903
yi tian 	一天	c=1 d=1 t=1254
yi tong 	一同	c=1 d=0.869358 t=2401
yi xia 	一下	c=13 d=0.821581 t=2401
yi xia 	以下	c=3 d=0.686285 t=2401
yi xie 	一些	c=2 d=1.00031 t=2189
yi yang 	一样	c=1 d=1 t=643
yi zhi 	一直	c=2 d=0.847894 t=2401
yi zhou 	一周	c=1 d=1 t=518
yin dao 	引导	c=1 d=1 t=943
yin wei 	因为	c=1 d=0.404542 t=2401
yin xiang 	印象	c=1 d=1 t=1833
ying gai 	应该	c=5 d=0.718864 t=2401
ying she 	映射	c=1 d=1 t=2005
ying tao 	樱桃	c=1 d=1 t=1876
ying wen 	英文	c=2 d=1.77105 t=449
yong 	用	c=4 d=1.01 t=2101
yong de 	用的	c=1 d=1 t=1031
yong hu 	用户	c=11 d=1.13717 t=2401
yong lai 	用来	c=1 d=1 t=1865
yong yu 	用于	c=1 d=1 t=2317
you 	又	c=1 d=0.546074 t=2401
you 	有	c=37 d=2.79883 t=2401
you jian 	邮件	c=3 d=0.626374 t=2401
you xian 	优先	c=2 d=1.9802 t=2207
you xiao 	有效	c=1 d=1 t=1462
you xie 	有些	c=1 d=1 t=1453
yu 	与	c=5 d=0.359304 t=2401
yu jing 	预警	c=1 d=1 t=1717
yuan 	远	c=1 d=1 t=2103
yuan lai 	原来	c=1 d=1 t=659
yuan shi 	原始	c=2 d=1.9802 t=2386
yue 	月	c=2 d=1.85642 t=1266
yun xing 	运行	c=1 d=0.472367 t=2401
yun xu 	允许	c=1 d=1 t=2150
zai 	再	c=6 d=1.10334 t=2367
zai 	在	c=24 d=2.03775 t=2401
zai 	载	c=1 d=1 t=909
zai e 	在额	c=1 d=0.191092 t=2401
zai xian 	在线	c=1 d=1 t=1986
zen me 	怎么	c=4 d=1.29463 t=2036
zeng jia 	增加	c=12 d=5.33778 t=1813
zhang 	张	c=2 d=1.98511 t=1414
zhao 	找	c=2 d=1.00512 t=2211
zhao dao 	找到	c=3 d=1.00742 t=1941
zhe 	这	c=3 d=1.39986 t=2054
zhe bian 	这边	c=4 d=0.494109 t=2401
zhe ge 	这个	c=16 d=1.50196 t=2401
zhe tiao 	这条	c=1 d=0.292293 t=2401
zhe zhong 	这种	c=2 d=1.89137 t=972
zheng 	帧	c=6 d=2.26997 t=2355
zheng chang 	正常	c=1 d=0.470011 t=2401
zheng jiu 	拯救	c=2 d=1.26054 t=2310
zhi 	之	c=1 d=0.481909 t=2401
zhi 	只	c=2 d=1.00458 t=1604
zhi chi 	支持	c=12 d=1.76148 t=2401
zhi dao 	知道	c=2 d=1.60653 t=1191
zhi hou 	之后	c=1 d=1 t=531
zhi hui 	只会	c=1 d=1 t=1476
zhi jie 	直接	c=7 d=0.891366 t=2401
zhi neng 	只能	c=3 d=0.408608 t=2401
zhi qian 	之前	c=6 d=0.524663 t=2401
zhi shi 	只是	c=3 d=0.364219 t=2401
zhi xu yao 	只需要	c=1 d=1 t=1938
zhi you 	只有	c=1 d=1 t=1957
zhong 	中	c=2 d=1.72253 t=461
zhong wen 	中文	c=2 d=0.588376 t=2401
zhong ying wen 	中英文	c=1 d=0.985112 t=2401
zhou 	周	c=2 d=0.543373 t=2401
zhou si 	宙斯	c=3 d=2.00309 t=1371
zhu yao 	主要	c=1 d=1 t=1037
zhu yi 	注意	c=1 d=1 t=2307
zhuan 	转	c=1 d=0.239309 t=2401
zhuan hua 	转化	c=1 d=1 t=1429
zhuan huan 	转换	c=2 d=1.6005 t=1022
zhuan pan 	转盘	c=6 d=1.66861 t=1827
zhuan wei 	转为	c=1 d=0.155673 t=2401
zhuan yi 	转移	c=1 d=1 t=2167
zhuang 	装	c=1 d=1 t=636
zhuang tai 	状态	c=3 d=1.31416 t=2401
zi duan 	字段	c=5 d=1.39628 t=2401
zi ji 	自己	c=4 d=1.21469 t=2004
zi lei 	子类	c=1 d=1 t=1890
zou 	走	c=5 d=1.02929 t=2226
zu 	组	c=1 d=1 t=2276
zui duo 	最多	c=4 d=0.771052 t=2401
zui gao 	最高	c=1 d=1 t=1205
zui hou 	最后	c=2 d=1.82696 t=2157
zui jin 	最近	c=1 d=1 t=1199
zui shao 	最少	c=1 d=1 t=602
zui xin 	最新	c=2 d=1.88692 t=590
zui zhong 	最终	c=2 d=1.72979 t=1943
zuo 	做	c=10 d=2.74444 t=2401
zuo hao 	做好	c=2 d=1.03371 t=1786
zuo wei 	作为	c=3 d=1.24131 t=1835
zuo you 	左右	c=1 d=0.486752 t=2401
